category,question,answer
Savings account,"What is the Jupiter All-in-1
            Savings Account?","The All-in-1 Savings Account on Jupiter powered by Federal Bank helps you manage your money better with
            faster payments, smart saving tools, and investment insights—all in one place."
Savings account,"How do I open a Jupiter Savings
            Account?","You can open your Jupiter digital account by following a few simple steps:
Install the Jupiter app
Tap ‘Open an all-in-1 Savings Account’ while selecting a Jupiter experience
Complete your video KYC"
Savings account,"Do I earn Jewels for making
            payments?","Yes! You earn up to 1% cashback as Jewels on:
UPI payments
Debit Card spends (online & offline)
Investments in Digital Gold"
Savings account,"Can I use my Jupiter Debit Card
            outside India?","Absolutely. You can spend in over 120 countries with 0% forex fee on international transactions using your
            Jupiter Debit Card."
Savings account,"Do I earn Jewels on
            International payments?","Yes, you also earn up to 1% cashback on online and offline international spends."
Savings account,"What payment modes are available
            with the Jupiter account?","You can make superfast payments with UPI, IMPS, and debit card—whether it's for recharges, bills, or
            merchant transactions"
Savings account,"Can I invest using my Jupiter
            account?","Yes! You can invest in Mutual Funds and Digital Gold with up to 1.5% extra returns on curated mutual fund
            plans."
Savings account,What additional benefits do I get with the Savings Account?,"Yes! You earn up to 1% cashback as Jewels on:
Free cheque book
Free IMPS transfers
ATM withdrawals"
Salary account,"How is this Salary account
            different then?","Our Salary Account can also be opened by an employee and does not necessarily need an employer to open one
            for you."
Salary account,"Why should I switch to Salary
            account?","It’s your Salary Account with extra benefits. Get the most out of your salary. Salary account is an upgraded
            version of the Basic account. Receive your monthly salary in your new Salary Account to earn maximum rewards
            on Jupiter, free credit & debit card, Mini Loans starting from 0% interest."
Salary account,How do I open a Salary account?,"To open a Salary account, follow these easy steps: 1. Download the Jupiter app and create your account 2.
            Complete your video verification / full KYC 3. Submit your company's name and verify your work email address
            4. Share your new account details with HR and make sure to get your next salary in your new Salary Account
            within 60 days. That's it! Once your salary is credited, you'll automatically be upgraded to a Salary
            account."
Salary account,already have a Savings Account on the Jupiter app. How do I upgrade to a Salary account?,"To upgrade to a Salary account, please go to 'Settings' on the Jupiter app and follow 3 simple steps.
            Currently open to select few."
Salary account,"Who all can open a Salary
            account on Jupiter?","To open a Salary account, please ensure that your in-hand salary is more ₹20,000. However, this is
            negotiable for teams. Please connect with us to learn more about the Salary account."
Salary account,"How much time does it take to
            open a Salary account?",It takes only 3 minutes to complete all the steps to open a Salary account.
Salary account,"Can I change my already existing
            salary account? How?","Create a new account on the app, submit your new bank account details with your HR to receive further
            salaries in that account and turn yourself into a Salary Account user"
Salary account,"Are there any charges for
            opening a Salary account?","Opening a Salary Account on Jupiter is completely free. There are also no charges for UPI, NEFT, and RTGS
            transactions."
Salary account,What is Mini-Loan?,"By opening a Salary account, you can instantly withdraw your partial salary before salary day with no
            interest charges."
Salary account,"I'm a non-salaried individual.
            How do I upgrade to Salary account?","Keep an eye out – we'll bring the benefits of Salary account to freelancers & other non-salaried individuals
            soon."
Salary account,"Which documents are required for
            opening a Salary account?",Your Aadhaar card linked with your phone number and PAN card are required to open a Salary account.
Corporate Salary account,"How much does the Corporate
            Salary Account cost?",It's completely free.
Corporate Salary account,"What if my company already has
            salary accounts for employees with another bank?","If you have an existing account with another bank, you can continue using it for business banking. You can
            still use Jupiter Corporate Salary Account for your employees with discounted medical insurance, 0% interest
            loans, 0 forex fees, and more. Ultimately, you get the best of both worlds."
Corporate Salary account,Is my employee’s money safe?,"It is 100% safe. Jupiter Corporate Salary Account is hosted in an RBI-licensed bank (Federal Bank) and the
            money in the account is insured up to ₹5,00,000."
Corporate Salary account,Does my company need a minimum number of employees?,We support companies of all sizes. From 2-person businesses to organizations that have over 1000 employees.
Corporate Salary account,"What is the benefit for my
            company?","Jupiter Corporate Salary Account helps you save up to ₹50,00,000 yearly by cutting down on HRMS costs,
            payroll software costs and health insurance costs.
You can streamline payout processes with our bulk salary payout portal
Your employees can also get loans at 0% interest, and invest in Mutual Funds and Digital Gold on Jupiter"
Corporate Salary account,"Which documents are needed for
            opening a Salary Account?","Your employees need to have the following to open a Jupiter Corporate Salary Account
Physical PAN card
A smart phone
Mobile number linked to Aadhar card
PAN & Aadhaar should be linked"
Corporate Salary account,"What is the initial deposit when
            you open a Salary Account?",No initial deposit is required to open a Salary Account.
Corporate Salary account,"Do we need to shift our Current
            Account to Jupiter?","Absolutely not, your existing relationship with banker is mostly for Business Banking. You shall continue
            enjoying benefits provided by your existing banker (for business banking) + enjoy additional benefits from
            Jupiter against your employee’s bank account. You get to enjoy the best of both worlds."
Corporate Salary account,"Do employees need to maintain
            any minimum balance?","While users are required to maintain ₹5,000 as the average monthly balance, charges up to ₹200 for not
            maintaining of balance. However for Salary Account users, the account is a zero balance account on
            consistent salary credits."
Corporate Salary account,"Is it a Federal bank account or
            Jupiter account?","A Federal Bank account is created for each employee. They can use the Jupiter app to pay, invest or save
            money without any restrictions."
Corporate Salary account,"Can the employee continue with
            the Jupiter salary account even if he leaves the present company?","Your employees can continue using the same Salary Account with their new employer and keep enjoying our
            benefits."
Corporate Salary account,"If any employee has an active
            loan with their current bank, can they still use the Jupiter Corporate Salary Account?","They can continue paying their loan with their existing bank. Jupiter's Autopay feature lets them
            auto-transfer any amount from their Jupiter account to their existing bank, ensuring their loan payments
            continue seamlessly."
Payments,What payment methods does Jupiter support?,"You can make payments via UPI, your linked bank account, and debit cards. You can also link any bank’s RuPay
            Credit Card to Jupiter UPI and make payments."
Payments,"Is it safe to make payments
            through Jupiter?","Yes. Jupiter uses industry-standard encryption and is compliant with RBI regulations to ensure secure and
            private transactions."
Payments,Can I pay my bills using Jupiter?,"Yes, you can pay utility bills like electricity, gas, DTH, water, and mobile recharges directly from the
            app."
Payments,Can I link multiple bank accounts to Jupiter?,"Yes, you can link more than one bank account and switch between them when making UPI payments."
Payments,Can I track my payments on Jupiter?,"Yes, you can track all your payments, see your top spending categories, and get actionable insights to
            better manage your money."
Payments,How do I earn cashback or rewards on payments?,"If you have a PRO Savings Account, you earn 1% cashback on all Debit Card payments and UPI payments from 7
            top brands. If you have linked any RuPay Credit Card to Jupiter UPI, you earn up to 2% cashback on every
            payment. Cashback is credited in the form of Jewels. 5 Jewels = ₹1"
Payments,Are there any charges for UPI transactions?,"No, UPI payments are free of charge on Jupiter."
Payments,Is there a transaction limit for UPI payments?,"Yes, the daily UPI limit is set by your bank and NPCI, which is generally ₹1 Lakh per day."
