category,question,answer,cleaned_question,cleaned_answer
Savings account,"What is the Jupiter All-in-1
            Savings Account?","The All-in-1 Savings Account on Jupiter powered by Federal Bank helps you manage your money better with
            faster payments, smart saving tools, and investment insights—all in one place.",what is the jupiter all-in-1 savings account?,"the all-in-1 savings account on jupiter powered by federal bank helps you manage your money better with faster payments, smart saving tools, and investment insights—all in one place."
Savings account,"How do I open a Jupiter Savings
            Account?","You can open your Jupiter digital account by following a few simple steps:
Install the Jupiter app
Tap ‘Open an all-in-1 Savings Account’ while selecting a Jupiter experience
Complete your video KYC",how do i open a jupiter savings account?,you can open your jupiter digital account by following a few simple steps: install the jupiter app tap ‘open an all-in-1 savings account’ while selecting a jupiter experience complete your video kyc
Savings account,"Do I earn Jewels for making
            payments?","Yes! You earn up to 1% cashback as Jewels on:
UPI payments
Debit Card spends (online & offline)
Investments in Digital Gold",do i earn jewels for making payments?,yes! you earn up to 1% cashback as jewels on: upi payments debit card spends (online & offline) investments in digital gold
Savings account,"Can I use my Jupiter Debit Card
            outside India?","Absolutely. You can spend in over 120 countries with 0% forex fee on international transactions using your
            Jupiter Debit Card.",can i use my jupiter debit card outside india?,absolutely. you can spend in over 120 countries with 0% forex fee on international transactions using your jupiter debit card.
Savings account,"Do I earn Jewels on
            International payments?","Yes, you also earn up to 1% cashback on online and offline international spends.",do i earn jewels on international payments?,"yes, you also earn up to 1% cashback on online and offline international spends."
Savings account,"What payment modes are available
            with the Jupiter account?","You can make superfast payments with UPI, IMPS, and debit card—whether it's for recharges, bills, or
            merchant transactions",what payment modes are available with the jupiter account?,"you can make superfast payments with upi, imps, and debit card—whether it's for recharges, bills, or merchant transactions"
Savings account,"Can I invest using my Jupiter
            account?","Yes! You can invest in Mutual Funds and Digital Gold with up to 1.5% extra returns on curated mutual fund
            plans.",can i invest using my jupiter account?,yes! you can invest in mutual funds and digital gold with up to 1.5% extra returns on curated mutual fund plans.
Savings account,What additional benefits do I get with the Savings Account?,"Yes! You earn up to 1% cashback as Jewels on:
Free cheque book
Free IMPS transfers
ATM withdrawals",what additional benefits do i get with the savings account?,yes! you earn up to 1% cashback as jewels on: free cheque book free imps transfers atm withdrawals
Salary account,"How is this Salary account
            different then?","Our Salary Account can also be opened by an employee and does not necessarily need an employer to open one
            for you.",how is this salary account different then?,our salary account can also be opened by an employee and does not necessarily need an employer to open one for you.
Salary account,"Why should I switch to Salary
            account?","It’s your Salary Account with extra benefits. Get the most out of your salary. Salary account is an upgraded
            version of the Basic account. Receive your monthly salary in your new Salary Account to earn maximum rewards
            on Jupiter, free credit & debit card, Mini Loans starting from 0% interest.",why should i switch to salary account?,"it’s your salary account with extra benefits. get the most out of your salary. salary account is an upgraded version of the basic account. receive your monthly salary in your new salary account to earn maximum rewards on jupiter, free credit & debit card, mini loans starting from 0% interest."
Salary account,How do I open a Salary account?,"To open a Salary account, follow these easy steps: 1. Download the Jupiter app and create your account 2.
            Complete your video verification / full KYC 3. Submit your company's name and verify your work email address
            4. Share your new account details with HR and make sure to get your next salary in your new Salary Account
            within 60 days. That's it! Once your salary is credited, you'll automatically be upgraded to a Salary
            account.",how do i open a salary account?,"to open a salary account, follow these easy steps: 1. download the jupiter app and create your account 2. complete your video verification / full kyc 3. submit your company's name and verify your work email address 4. share your new account details with hr and make sure to get your next salary in your new salary account within 60 days. that's it! once your salary is credited, you'll automatically be upgraded to a salary account."
Salary account,already have a Savings Account on the Jupiter app. How do I upgrade to a Salary account?,"To upgrade to a Salary account, please go to 'Settings' on the Jupiter app and follow 3 simple steps.
            Currently open to select few.",already have a savings account on the jupiter app. how do i upgrade to a salary account?,"to upgrade to a salary account, please go to 'settings' on the jupiter app and follow 3 simple steps. currently open to select few."
Salary account,"Who all can open a Salary
            account on Jupiter?","To open a Salary account, please ensure that your in-hand salary is more ₹20,000. However, this is
            negotiable for teams. Please connect with us to learn more about the Salary account.",who all can open a salary account on jupiter?,"to open a salary account, please ensure that your in-hand salary is more ₹20,000. however, this is negotiable for teams. please connect with us to learn more about the salary account."
Salary account,"How much time does it take to
            open a Salary account?",It takes only 3 minutes to complete all the steps to open a Salary account.,how much time does it take to open a salary account?,it takes only 3 minutes to complete all the steps to open a salary account.
Salary account,"Can I change my already existing
            salary account? How?","Create a new account on the app, submit your new bank account details with your HR to receive further
            salaries in that account and turn yourself into a Salary Account user",can i change my already existing salary account? how?,"create a new account on the app, submit your new bank account details with your hr to receive further salaries in that account and turn yourself into a salary account user"
Salary account,"Are there any charges for
            opening a Salary account?","Opening a Salary Account on Jupiter is completely free. There are also no charges for UPI, NEFT, and RTGS
            transactions.",are there any charges for opening a salary account?,"opening a salary account on jupiter is completely free. there are also no charges for upi, neft, and rtgs transactions."
Salary account,What is Mini-Loan?,"By opening a Salary account, you can instantly withdraw your partial salary before salary day with no
            interest charges.",what is mini-loan?,"by opening a salary account, you can instantly withdraw your partial salary before salary day with no interest charges."
Salary account,"I'm a non-salaried individual.
            How do I upgrade to Salary account?","Keep an eye out – we'll bring the benefits of Salary account to freelancers & other non-salaried individuals
            soon.",i'm a non-salaried individual. how do i upgrade to salary account?,keep an eye out – we'll bring the benefits of salary account to freelancers & other non-salaried individuals soon.
Salary account,"Which documents are required for
            opening a Salary account?",Your Aadhaar card linked with your phone number and PAN card are required to open a Salary account.,which documents are required for opening a salary account?,your aadhaar card linked with your phone number and pan card are required to open a salary account.
Corporate Salary account,"How much does the Corporate
            Salary Account cost?",It's completely free.,how much does the corporate salary account cost?,it's completely free.
Corporate Salary account,"What if my company already has
            salary accounts for employees with another bank?","If you have an existing account with another bank, you can continue using it for business banking. You can
            still use Jupiter Corporate Salary Account for your employees with discounted medical insurance, 0% interest
            loans, 0 forex fees, and more. Ultimately, you get the best of both worlds.",what if my company already has salary accounts for employees with another bank?,"if you have an existing account with another bank, you can continue using it for business banking. you can still use jupiter corporate salary account for your employees with discounted medical insurance, 0% interest loans, 0 forex fees, and more. ultimately, you get the best of both worlds."
Corporate Salary account,Is my employee’s money safe?,"It is 100% safe. Jupiter Corporate Salary Account is hosted in an RBI-licensed bank (Federal Bank) and the
            money in the account is insured up to ₹5,00,000.",is my employee’s money safe?,"it is 100% safe. jupiter corporate salary account is hosted in an rbi-licensed bank (federal bank) and the money in the account is insured up to ₹5,00,000."
Corporate Salary account,Does my company need a minimum number of employees?,We support companies of all sizes. From 2-person businesses to organizations that have over 1000 employees.,does my company need a minimum number of employees?,we support companies of all sizes. from 2-person businesses to organizations that have over 1000 employees.
Corporate Salary account,"What is the benefit for my
            company?","Jupiter Corporate Salary Account helps you save up to ₹50,00,000 yearly by cutting down on HRMS costs,
            payroll software costs and health insurance costs.
You can streamline payout processes with our bulk salary payout portal
Your employees can also get loans at 0% interest, and invest in Mutual Funds and Digital Gold on Jupiter",what is the benefit for my company?,"jupiter corporate salary account helps you save up to ₹50,00,000 yearly by cutting down on hrms costs, payroll software costs and health insurance costs. you can streamline payout processes with our bulk salary payout portal your employees can also get loans at 0% interest, and invest in mutual funds and digital gold on jupiter"
Corporate Salary account,"Which documents are needed for
            opening a Salary Account?","Your employees need to have the following to open a Jupiter Corporate Salary Account
Physical PAN card
A smart phone
Mobile number linked to Aadhar card
PAN & Aadhaar should be linked",which documents are needed for opening a salary account?,your employees need to have the following to open a jupiter corporate salary account physical pan card a smart phone mobile number linked to aadhar card pan & aadhaar should be linked
Corporate Salary account,"What is the initial deposit when
            you open a Salary Account?",No initial deposit is required to open a Salary Account.,what is the initial deposit when you open a salary account?,no initial deposit is required to open a salary account.
Corporate Salary account,"Do we need to shift our Current
            Account to Jupiter?","Absolutely not, your existing relationship with banker is mostly for Business Banking. You shall continue
            enjoying benefits provided by your existing banker (for business banking) + enjoy additional benefits from
            Jupiter against your employee’s bank account. You get to enjoy the best of both worlds.",do we need to shift our current account to jupiter?,"absolutely not, your existing relationship with banker is mostly for business banking. you shall continue enjoying benefits provided by your existing banker (for business banking) + enjoy additional benefits from jupiter against your employee’s bank account. you get to enjoy the best of both worlds."
Corporate Salary account,"Do employees need to maintain
            any minimum balance?","While users are required to maintain ₹5,000 as the average monthly balance, charges up to ₹200 for not
            maintaining of balance. However for Salary Account users, the account is a zero balance account on
            consistent salary credits.",do employees need to maintain any minimum balance?,"while users are required to maintain ₹5,000 as the average monthly balance, charges up to ₹200 for not maintaining of balance. however for salary account users, the account is a zero balance account on consistent salary credits."
Corporate Salary account,"Is it a Federal bank account or
            Jupiter account?","A Federal Bank account is created for each employee. They can use the Jupiter app to pay, invest or save
            money without any restrictions.",is it a federal bank account or jupiter account?,"a federal bank account is created for each employee. they can use the jupiter app to pay, invest or save money without any restrictions."
Corporate Salary account,"Can the employee continue with
            the Jupiter salary account even if he leaves the present company?","Your employees can continue using the same Salary Account with their new employer and keep enjoying our
            benefits.",can the employee continue with the jupiter salary account even if he leaves the present company?,your employees can continue using the same salary account with their new employer and keep enjoying our benefits.
